,text_latinamerica,text_spain,encoded_latinamerica_spain,encoded_latinamerica,text_prediction
18,Lo siento si... ...nos escuchaste anoche. ¿Cómo?,Perdona si... ...nos oíste anoche. ¿Qué?,<s>Lo siento si... ...nos escuchaste anoche. ¿Cómo?</s>>>>><p>Perdona si... ...nos oíste anoche. ¿Qué?</p>,<s>Lo siento si... ...nos escuchaste anoche. ¿Cómo?</s>>>>><p>,...lo siento si......te has enterado anoche. ¿Cómo?
19,"Son inteligentes, tenaces... Muy... muy...","Las dos sois inteligente, cabezotas... ...preciosas... O sea...","<s>Son inteligentes, tenaces... Muy... muy...</s>>>>><p>Las dos sois inteligente, cabezotas... ...preciosas... O sea...</p>","<s>Son inteligentes, tenaces... Muy... muy...</s>>>>><p>","...muy inteligentes, tenaces......muy..."
20,Y quizá tengas razón.,Y quizá tenga razón.,<s>Y quizá tengas razón.</s>>>>><p>Y quizá tenga razón.</p>,<s>Y quizá tengas razón.</s>>>>><p>,Y quizá tengas razón.
21,"Súper. ¡Te felicito, Texas! Tengo una cita.","Guay. Flipa, Texas. Tengo una cita.","<s>Súper. ¡Te felicito, Texas! Tengo una cita.</s>>>>><p>Guay. Flipa, Texas. Tengo una cita.</p>","<s>Súper. ¡Te felicito, Texas! Tengo una cita.</s>>>>><p>","¡Súper! ¡Te felicito, Texas! Tengo una cita."
22,"¿Por qué responde a la sirena que los españoles llaman 'El Theater'?"".","¿Por qué responder a la llamada de lo que los italianos llaman 'il teatro'?"".","<s>¿Por qué responde a la sirena que los españoles llaman 'El Theater'?"".</s>>>>><p>¿Por qué responder a la llamada de lo que los italianos llaman 'il teatro'?"".</p>","<s>¿Por qué responde a la sirena que los españoles llaman 'El Theater'?"".</s>>>>><p>",¿Por qué responde a la sirena que los españoles llaman El Theater?
23,Todo afecta a todo.,Todo afecta a todo.,<s>Todo afecta a todo.</s>>>>><p>Todo afecta a todo.</p>,<s>Todo afecta a todo.</s>>>>><p>,Todo afecta a todo.
24,"¿Verdad, Ginny? ""Alguien puede hacer pasar una 'espacio' fina","¿Verdad, Ginny? ""Que puede pasar incluso junto a una…"". Nada.","<s>¿Verdad, Ginny? ""Alguien puede hacer pasar una 'espacio' fina</s>>>>><p>¿Verdad, Ginny? ""Que puede pasar incluso junto a una…"". Nada.</p>","<s>¿Verdad, Ginny? ""Alguien puede hacer pasar una 'espacio' fina</s>>>>><p>","¿Verdad, Ginny? Alguien puede hacer pasar una distancia muy fina"
25,"De hecho, conozco un poco a Andy. Compro en su tienda.",Conozco un poco a Andy. Compro en su tienda.,"<s>De hecho, conozco un poco a Andy. Compro en su tienda.</s>>>>><p>Conozco un poco a Andy. Compro en su tienda.</p>","<s>De hecho, conozco un poco a Andy. Compro en su tienda.</s>>>>><p>",Es un poco a Andy. Compro en su tienda.
26,mientras investigo el triste caso de los huérfanos Baudelaire.,mientras sigo el triste y empapado caso de los Baudelaire.,<s>mientras investigo el triste caso de los huérfanos Baudelaire.</s>>>>><p>mientras sigo el triste y empapado caso de los Baudelaire.</p>,<s>mientras investigo el triste caso de los huérfanos Baudelaire.</s>>>>><p>,con el triste caso de los huérfanos Baudelaire.
27,Siento que ni siquiera sé quién es mi madre. No es esa pobre huérfana de película dramática.,No sé ni quién es mi madre. No es una huérfana que ha tenido que hacerlo todo sola.,<s>Siento que ni siquiera sé quién es mi madre. No es esa pobre huérfana de película dramática.</s>>>>><p>No sé ni quién es mi madre. No es una huérfana que ha tenido que hacerlo todo sola.</p>,<s>Siento que ni siquiera sé quién es mi madre. No es esa pobre huérfana de película dramática.</s>>>>><p>,...no sé quién es mi madre. No es esa pobre huérfana de película dramática.
28,"Siempre he sido sincero en mis deseos, huérfanos.",Siempre he sido sincero sobre mis deseos:,"<s>Siempre he sido sincero en mis deseos, huérfanos.</s>>>>><p>Siempre he sido sincero sobre mis deseos:</p>","<s>Siempre he sido sincero en mis deseos, huérfanos.</s>>>>><p>","Siempre he sido sincero en mis deseos, huérfanos."
29,Como lo habrían hecho todos ustedes.,Como la reconoceríais vosotros.,<s>Como lo habrían hecho todos ustedes.</s>>>>><p>Como la reconoceríais vosotros.</p>,<s>Como lo habrían hecho todos ustedes.</s>>>>><p>,Íbamos a hacerlo todos vosotros.
30,¿Sylvie te habló del rodaje?,- ¿Te ha contado algo Sylvie? No.,<s>¿Sylvie te habló del rodaje?</s>>>>><p>- ¿Te ha contado algo Sylvie? No.</p>,<s>¿Sylvie te habló del rodaje?</s>>>>><p>,¿Sylvie te ha hablado del estreno?
31,"No envié ninguna. Se me pasaron las fechas límite. Básicamente, estoy arruinado.",No he presentadonada. Se me han pasado los plazos. Estoy básicamente jodido.,"<s>No envié ninguna. Se me pasaron las fechas límite. Básicamente, estoy arruinado.</s>>>>><p>No he presentadonada. Se me han pasado los plazos. Estoy básicamente jodido.</p>","<s>No envié ninguna. Se me pasaron las fechas límite. Básicamente, estoy arruinado.</s>>>>><p>",No he enviado ninguna. Se me han pasado las fechas límite.
32,Esta historia lo tiene todo. Aventura. Muerte. Dilema moral.,Lo tiene todo. Aventura. Crimen. Conflicto moral...,<s>Esta historia lo tiene todo. Aventura. Muerte. Dilema moral.</s>>>>><p>Lo tiene todo. Aventura. Crimen. Conflicto moral...</p>,<s>Esta historia lo tiene todo. Aventura. Muerte. Dilema moral.</s>>>>><p>,La historia lo tiene todo. A Fortuna. A Fortuna.
33,¿Menos? Menos. Te prepararé uno de tus preferidos:,¿Menos? Menos. Vale... Estoy preparando uno de tus platos preferidos:,<s>¿Menos? Menos. Te prepararé uno de tus preferidos:</s>>>>><p>¿Menos? Menos. Vale... Estoy preparando uno de tus platos preferidos:</p>,<s>¿Menos? Menos. Te prepararé uno de tus preferidos:</s>>>>><p>,¿Menos? Menos. Te prepararé uno de tus preferidos:
34,"Escucha, viejo, no puedo salir. Estoy muy nervioso.","Oye, tío, no puedo hacerlo. Estoy demasiado nervioso.","<s>Escucha, viejo, no puedo salir. Estoy muy nervioso.</s>>>>><p>Oye, tío, no puedo hacerlo. Estoy demasiado nervioso.</p>","<s>Escucha, viejo, no puedo salir. Estoy muy nervioso.</s>>>>><p>",No puedo salir. Estoy muy nervioso.
35,Eso es lo que te gusta de mí. Vamos.,Es lo que más te gusta de mí. Vamos.,<s>Eso es lo que te gusta de mí. Vamos.</s>>>>><p>Es lo que más te gusta de mí. Vamos.</p>,<s>Eso es lo que te gusta de mí. Vamos.</s>>>>><p>,Es lo que te gusta de mí. Venga.
36,¡Papacito! ¡Hola chicos!,"¡Yuju! ¡Qué bien! ¡Hola, chicos!","<s>¡Papacito! ¡Hola chicos!</s>>>>><p>¡Yuju! ¡Qué bien! ¡Hola, chicos!</p>",<s>¡Papacito! ¡Hola chicos!</s>>>>><p>,Papacito. ¡Hola!
37,"quien marcó unos increíbles 28 puntos. En otras noticias de deportes, las damas Tigers ganaron su juego",que arrasó con 28 puntos. Otras noticias deportivas: las Lady Tigers ganaron el partido,"<s>quien marcó unos increíbles 28 puntos. En otras noticias de deportes, las damas Tigers ganaron su juego</s>>>>><p>que arrasó con 28 puntos. Otras noticias deportivas: las Lady Tigers ganaron el partido</p>","<s>quien marcó unos increíbles 28 puntos. En otras noticias de deportes, las damas Tigers ganaron su juego</s>>>>><p>","que marcaría unos increíbles 28 puntos. En otras noticias de deportes, las damas Tigers ganaron su partido"
38,"De acuerdo. Si van a responder así, ambos quedan castigados.","Vale. Si nos venís con estas, estáis los dos castigados.","<s>De acuerdo. Si van a responder así, ambos quedan castigados.</s>>>>><p>Vale. Si nos venís con estas, estáis los dos castigados.</p>","<s>De acuerdo. Si van a responder así, ambos quedan castigados.</s>>>>><p>","De acuerdo. Si van a responder así, ambos se quedarán castigados."
39,"No están a salvo. Tranquila, a ver. Dennos un segundo.","No están bien. Vale, cálmate. Dejadnos solos.","<s>No están a salvo. Tranquila, a ver. Dennos un segundo.</s>>>>><p>No están bien. Vale, cálmate. Dejadnos solos.</p>","<s>No están a salvo. Tranquila, a ver. Dennos un segundo.</s>>>>><p>","No están a salvo. Tranquila, vamos a ver. Venga, vamos a ver."
40,¡Ves! No debes obligar a otros a ser religiosos.,¿Ves? ¡No tienes que forzar a nadie a ser religioso!,<s>¡Ves! No debes obligar a otros a ser religiosos.</s>>>>><p>¿Ves? ¡No tienes que forzar a nadie a ser religioso!</p>,<s>¡Ves! No debes obligar a otros a ser religiosos.</s>>>>><p>,¡Ves! No deberías obligar a otros a ser religiosos.
41,"Alma no era patética, estaba prisionera y no sabía cómo escapar.","Alma no era patética, estaba atrapada. Es distinto. No sabía cómo librarse.","<s>Alma no era patética, estaba prisionera y no sabía cómo escapar.</s>>>>><p>Alma no era patética, estaba atrapada. Es distinto. No sabía cómo librarse.</p>","<s>Alma no era patética, estaba prisionera y no sabía cómo escapar.</s>>>>><p>","No era patética, estaba prisionera y no sabía cómo escapar."
42,No confías en mí. ¿Y por qué lo harías? Ni siquiera yo sé cómo me siento.,No te fías de mí. ¿Por qué ibas a fiarte? Ni yo sé cómo me siento.,<s>No confías en mí. ¿Y por qué lo harías? Ni siquiera yo sé cómo me siento.</s>>>>><p>No te fías de mí. ¿Por qué ibas a fiarte? Ni yo sé cómo me siento.</p>,<s>No confías en mí. ¿Y por qué lo harías? Ni siquiera yo sé cómo me siento.</s>>>>><p>,No confías en mí. ¿Y por qué lo harías? Ni siquiera sé cómo me siento.
43,Solo debía darle una vida decente a Enola y vivir sus años restantes con dignidad.,Solo debía darle a Enola una vida decente y vivir los años que le quedaban con dignidad.,<s>Solo debía darle una vida decente a Enola y vivir sus años restantes con dignidad.</s>>>>><p>Solo debía darle a Enola una vida decente y vivir los años que le quedaban con dignidad.</p>,<s>Solo debía darle una vida decente a Enola y vivir sus años restantes con dignidad.</s>>>>><p>,Enola tenía que dar una vida decente con su vida y con dignidad.
44,¡Mala suerte! Yo llevo siglos sin dormir.,¡Ni lo sueñes! ¡Yo llevo siglos sin dormir!,<s>¡Mala suerte! Yo llevo siglos sin dormir.</s>>>>><p>¡Ni lo sueñes! ¡Yo llevo siglos sin dormir!</p>,<s>¡Mala suerte! Yo llevo siglos sin dormir.</s>>>>><p>,¡Buena suerte! Yo llevo siglos sin dormir.
45,"Lisa, su madre, encontró un tronco de árbol podrido,","Su madre, Lisa, ha encontrado un tronco podrido","<s>Lisa, su madre, encontró un tronco de árbol podrido,</s>>>>><p>Su madre, Lisa, ha encontrado un tronco podrido</p>","<s>Lisa, su madre, encontró un tronco de árbol podrido,</s>>>>><p>","Lisa, su madre, encontró un tronco de árbol podrido,"
46,¿Phil trabajaba para la NBA?,"¿Phil trabajaba para la NBA? Porque si trabajaba para el gobierno,","<s>¿Phil trabajaba para la NBA?</s>>>>><p>¿Phil trabajaba para la NBA? Porque si trabajaba para el gobierno,</p>",<s>¿Phil trabajaba para la NBA?</s>>>>><p>,¿Phil trabajaba para la NBA?
47,Sí lo harás.,Sí lo harás.,<s>Sí lo harás.</s>>>>><p>Sí lo harás.</p>,<s>Sí lo harás.</s>>>>><p>,¿Sí? Sí.
48,contenía una serie de rotores.,contuviera una serie de rotores.,<s>contenía una serie de rotores.</s>>>>><p>contuviera una serie de rotores.</p>,<s>contenía una serie de rotores.</s>>>>><p>,contenía una serie de rotores.
49,No. Tienes razón. Es algo.,No. Tienes razón. Sí que la tiene.,<s>No. Tienes razón. Es algo.</s>>>>><p>No. Tienes razón. Sí que la tiene.</p>,<s>No. Tienes razón. Es algo.</s>>>>><p>,No. Tienes razón. Es algo.
50,"Gracias, Confucio. Los odio a todos. Solo puedo contar con Ginny.","Gracias, Confucio. Os odio a todos. Ginny es mi única amiga.","<s>Gracias, Confucio. Los odio a todos. Solo puedo contar con Ginny.</s>>>>><p>Gracias, Confucio. Os odio a todos. Ginny es mi única amiga.</p>","<s>Gracias, Confucio. Los odio a todos. Solo puedo contar con Ginny.</s>>>>><p>",Confucio. Os odio a todos. Solo puedo contar con Ginny.
51,Tiene el entusiasmo.,Tiene entusiasmo.,<s>Tiene el entusiasmo.</s>>>>><p>Tiene entusiasmo.</p>,<s>Tiene el entusiasmo.</s>>>>><p>,Tiene el entusiasmo.
52,Quemado. ...fuera de la cobertura.,Carbonizado. De reformas.,<s>Quemado. ...fuera de la cobertura.</s>>>>><p>Carbonizado. De reformas.</p>,<s>Quemado. ...fuera de la cobertura.</s>>>>><p>,...quemado....fuera de la cobertura.
53,¡Paul! ¿Qué haces?,¡Paul! ¿Qué haces?,<s>¡Paul! ¿Qué haces?</s>>>>><p>¡Paul! ¿Qué haces?</p>,<s>¡Paul! ¿Qué haces?</s>>>>><p>,¡Paul! ¿Qué haces?
54,"Por favor, no me excluyas. Solo se lo conté a Sol, no es como contarle a una persona de verdad.","Por favor, no me descartes. Solo se lo conté a Sol y no es como decírselo a una persona de verdad.","<s>Por favor, no me excluyas. Solo se lo conté a Sol, no es como contarle a una persona de verdad.</s>>>>><p>Por favor, no me descartes. Solo se lo conté a Sol y no es como decírselo a una persona de verdad.</p>","<s>Por favor, no me excluyas. Solo se lo conté a Sol, no es como contarle a una persona de verdad.</s>>>>><p>","No me dejes. Solo se lo conté a Sol, no es como contarle a una persona de verdad."
55,No veía uno de estos desde hace tiempo. ¿Qué escuchas?,Hacía mucho que no veía uno. ¿Qué escuchas?,<s>No veía uno de estos desde hace tiempo. ¿Qué escuchas?</s>>>>><p>Hacía mucho que no veía uno. ¿Qué escuchas?</p>,<s>No veía uno de estos desde hace tiempo. ¿Qué escuchas?</s>>>>><p>,No veía uno desde hace tiempo. ¿Qué escuchas?
56,¿Puedes venir? Con gusto.,¿Puedes venir? Encantada.,<s>¿Puedes venir? Con gusto.</s>>>>><p>¿Puedes venir? Encantada.</p>,<s>¿Puedes venir? Con gusto.</s>>>>><p>,¿Puedes venir? Gracias.
57,"pero, en realidad, solo existe una…",pero la verdad es que solo hay una.,"<s>pero, en realidad, solo existe una…</s>>>>><p>pero la verdad es que solo hay una.</p>","<s>pero, en realidad, solo existe una…</s>>>>><p>","...pero, en realidad, solo existe una…"
58,¿Me pusiste en tu pequeña revista? ¿Te acuerdas?,Me sacaste en tu revista. ¿Te acuerdas?,<s>¿Me pusiste en tu pequeña revista? ¿Te acuerdas?</s>>>>><p>Me sacaste en tu revista. ¿Te acuerdas?</p>,<s>¿Me pusiste en tu pequeña revista? ¿Te acuerdas?</s>>>>><p>,¿Me has puesto en tu pequeña revista? ¿Te acuerdas?
59,"Y para Sunny, una evaluación profesional con una secuencia especial de tareas insignificantes.","Y a Sunny, una nueva evaluación profesional, que incluirá una serie especial de tareas degradantes.","<s>Y para Sunny, una evaluación profesional con una secuencia especial de tareas insignificantes.</s>>>>><p>Y a Sunny, una nueva evaluación profesional, que incluirá una serie especial de tareas degradantes.</p>","<s>Y para Sunny, una evaluación profesional con una secuencia especial de tareas insignificantes.</s>>>>><p>","Y para Sunny, una evaluación profesional con una secuencia de tareas secundarias."
60,y lo filman teniendo una aventura y usan eso para chantajear al diplomático.,"y lo graben teniendo algún tipo de contacto, y eso lo usen para chantajear al diplomático.","<s>y lo filman teniendo una aventura y usan eso para chantajear al diplomático.</s>>>>><p>y lo graben teniendo algún tipo de contacto, y eso lo usen para chantajear al diplomático.</p>",<s>y lo filman teniendo una aventura y usan eso para chantajear al diplomático.</s>>>>><p>,y lo filman teniendo una aventura y usan eso para chantajear al diplomático.
61,¿Eso es esto para ti? Te sientes una mierda y quieres ser un héroe.,¿Es eso? Te sientes gilipollas y por eso vas de héroe.,<s>¿Eso es esto para ti? Te sientes una mierda y quieres ser un héroe.</s>>>>><p>¿Es eso? Te sientes gilipollas y por eso vas de héroe.</p>,<s>¿Eso es esto para ti? Te sientes una mierda y quieres ser un héroe.</s>>>>><p>,...¿Eso es lo que quieres? Te sientes un puto héroe y quieres ser un héroe.
62,Y luego atacan.,"Y entonces, atacan.","<s>Y luego atacan.</s>>>>><p>Y entonces, atacan.</p>",<s>Y luego atacan.</s>>>>><p>,Y luego atacan.
63,Eres su marido. Y tú eres su compañera de cuarto. Su excompañera.,"Eres su marido. Y tú, su compañera de cuarto. Excompañera de cuarto.","<s>Eres su marido. Y tú eres su compañera de cuarto. Su excompañera.</s>>>>><p>Eres su marido. Y tú, su compañera de cuarto. Excompañera de cuarto.</p>",<s>Eres su marido. Y tú eres su compañera de cuarto. Su excompañera.</s>>>>><p>,Tu marido es tu excompañero. Y tú eres su compañera de cuarto.
64,La mayoría piensa así en la universidad y luego cambia de parecer.,Casi todos piensan así en la universidad y luego cambian de opinión.,<s>La mayoría piensa así en la universidad y luego cambia de parecer.</s>>>>><p>Casi todos piensan así en la universidad y luego cambian de opinión.</p>,<s>La mayoría piensa así en la universidad y luego cambia de parecer.</s>>>>><p>,La mayoría piensa así en la universidad y luego cambia de parecer.
65,...fractura pélvica.,fractura en la pelvis.,<s>...fractura pélvica.</s>>>>><p>fractura en la pelvis.</p>,<s>...fractura pélvica.</s>>>>><p>,...fractura pélvica.
66,Abre la puerta. No.,Abre el coche. No.,<s>Abre la puerta. No.</s>>>>><p>Abre el coche. No.</p>,<s>Abre la puerta. No.</s>>>>><p>,¡Abre la puerta! No.
67,Exacto. Pobre Marianne. ¿Cómo lo lleva?,Exacto. Pobre Marianne. ¿Cómo lo lleva?,<s>Exacto. Pobre Marianne. ¿Cómo lo lleva?</s>>>>><p>Exacto. Pobre Marianne. ¿Cómo lo lleva?</p>,<s>Exacto. Pobre Marianne. ¿Cómo lo lleva?</s>>>>><p>,Íbamos a decir que Marianne. Pobre Marianne. ¿Cómo lo lleva?
68,Se los pedí cinco veces. Bueno.,Os lo he dicho cinco veces. Vale.,<s>Se los pedí cinco veces. Bueno.</s>>>>><p>Os lo he dicho cinco veces. Vale.</p>,<s>Se los pedí cinco veces. Bueno.</s>>>>><p>,Se los he pedido cinco veces. Vale.
69,"Todo bien, todo divertido. Solo… Solo tengo un mal día.",Bien. Genial. Todo perfecto. Es que… tengo un mal día.,"<s>Todo bien, todo divertido. Solo… Solo tengo un mal día.</s>>>>><p>Bien. Genial. Todo perfecto. Es que… tengo un mal día.</p>","<s>Todo bien, todo divertido. Solo… Solo tengo un mal día.</s>>>>><p>","Todo bien, todo guay. Solo… Solo tengo un mal día."
70,"como un rompecabezas sin una pieza, o la mitad de un catalejo roto.","como un rompecabezas al que le falta  una pieza, o la mitad de un catalejo.","<s>como un rompecabezas sin una pieza, o la mitad de un catalejo roto.</s>>>>><p>como un rompecabezas al que le falta  una pieza, o la mitad de un catalejo.</p>","<s>como un rompecabezas sin una pieza, o la mitad de un catalejo roto.</s>>>>><p>","como un rompecabezas sin una pieza, o la mitad de un catalejo roto."
71,"y guardó silencio durante seis días. Luego vino a mi cuarto y dijo: ""Tonio,",Estuvo callado durante seis días. Luego viene a mi habitación y dice:,"<s>y guardó silencio durante seis días. Luego vino a mi cuarto y dijo: ""Tonio,</s>>>>><p>Estuvo callado durante seis días. Luego viene a mi habitación y dice:</p>","<s>y guardó silencio durante seis días. Luego vino a mi cuarto y dijo: ""Tonio,</s>>>>><p>","...y se quedó callado durante seis días. Luego vino a mi cuarto y dijo: Tonio,"
72,Quédense aquí. Y no hagan ruido.,Quedaos aquí. Y nada de asomarse.,<s>Quédense aquí. Y no hagan ruido.</s>>>>><p>Quedaos aquí. Y nada de asomarse.</p>,<s>Quédense aquí. Y no hagan ruido.</s>>>>><p>,¿Qué hacéis aquí? No os mováis.
73,"y de decir cosas como ""paparruchada"", ¿por qué de pronto decidiste drogarte con mi exesposa?","y decir cosas como ""cabeza de chorlito"", ¿por qué decidiste de repente colocarte con mi exmujer?","<s>y de decir cosas como ""paparruchada"", ¿por qué de pronto decidiste drogarte con mi exesposa?</s>>>>><p>y decir cosas como ""cabeza de chorlito"", ¿por qué decidiste de repente colocarte con mi exmujer?</p>","<s>y de decir cosas como ""paparruchada"", ¿por qué de pronto decidiste drogarte con mi exesposa?</s>>>>><p>","...y de decir cosas como 'paparruchada', ¿por qué de repente decidiste drogarte con mi exmarido?"
74,"Podemos hablar de todo. Absolutamente. Suena increíble. ¿Segura? Sí, será una buena distracción.",Y hablamos. Genial. Suena estupendo. ¿Seguro? Sí. Me vendrá bien distraerme.,"<s>Podemos hablar de todo. Absolutamente. Suena increíble. ¿Segura? Sí, será una buena distracción.</s>>>>><p>Y hablamos. Genial. Suena estupendo. ¿Seguro? Sí. Me vendrá bien distraerme.</p>","<s>Podemos hablar de todo. Absolutamente. Suena increíble. ¿Segura? Sí, será una buena distracción.</s>>>>><p>","Íbamos a hablar de todo. Absolutamente. Suena increíble. ¿Segura? Sí, será una buena distracción."
75,"Uno, dos, tres, cuatro...","Uno, dos, tres, cuatro...","<s>Uno, dos, tres, cuatro...</s>>>>><p>Uno, dos, tres, cuatro...</p>","<s>Uno, dos, tres, cuatro...</s>>>>><p>","Uno, dos, tres, cuatro..."
76,¿Por qué no tiene asiento tu bicicleta?,¿Por qué tu bici no tiene sillín?,<s>¿Por qué no tiene asiento tu bicicleta?</s>>>>><p>¿Por qué tu bici no tiene sillín?</p>,<s>¿Por qué no tiene asiento tu bicicleta?</s>>>>><p>,¿Por qué no tiene asiento tu bici?
